,Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Negotiable,Price
1,Yukon,Riyadh,GMC,Automatic,Saudi,Full,2014,8.0,80000,False,120000
3,Optima,Hafar Al-Batin,Kia,Automatic,Saudi,Semi Full,2015,2.4,220000,False,42000
5,CX3,Abha,Mazda,Automatic,Saudi,Semi Full,2019,2.0,25000,False,58000
6,Cayenne S,Riyadh,Porsche,Automatic,Saudi,Full,2012,4.8,189000,False,85000
7,Sonata,Riyadh,Hyundai,Automatic,Saudi,Full,2016,2.4,155,False,48000
8,Avalon,Riyadh,Toyota,Automatic,Saudi,Standard,2016,3.5,110864,False,81500
10,C300,Makkah,Chrysler,Automatic,Saudi,Full,2013,5.7,200,False,55000
11,Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2011,4.6,79000,False,145000
12,LS,Dammam,Lexus,Automatic,Saudi,Full,2008,4.6,299000,False,38000
13,FJ,Riyadh,Toyota,Automatic,Saudi,Semi Full,2020,4.0,17000,False,140000
18,Tucson,Jeddah,Hyundai,Automatic,Saudi,Standard,2018,2.0,85000,False,65000
21,Pajero,Riyadh,Mitsubishi,Automatic,Saudi,Full,2018,3.5,74715,False,76000
23,Azera,Riyadh,Hyundai,Automatic,Saudi,Full,2013,3.0,284000,False,32000
24,Focus,Khobar,Ford,Automatic,Gulf Arabic,Standard,2014,1.6,98000,False,23000
25,5,Al-Baha,MG,Automatic,Saudi,Semi Full,2021,1.5,3400,False,42000
26,Spark,Dammam,Chevrolet,Automatic,Saudi,Semi Full,2017,1.4,108,False,20000
29,Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2017,1.4,204000,False,23000
30,ML,Jeddah,Mercedes,Automatic,Saudi,Semi Full,2010,3.5,139240,False,45000
31,Corolla,Jazan,Toyota,Automatic,Saudi,Semi Full,2013,1.6,296,False,30000
32,Tahoe,Riyadh,Chevrolet,Automatic,Other,Semi Full,2017,6.2,105920,False,149000
35,A,Riyadh,Mercedes,Automatic,Other,Standard,2021,2.0,10000,False,179000
36,Altima,Aseer,Nissan,Automatic,Saudi,Full,2011,2.5,18500,False,22000
37,Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Full,2010,5.3,292000,False,55000
39,Expedition,Riyadh,Ford,Automatic,Saudi,Standard,2013,5.4,270000,False,49500
41,Senta fe,Riyadh,Hyundai,Automatic,Gulf Arabic,Full,2015,3.3,350000,False,52000
43,Liberty,Al-Medina,Jeep,Automatic,Saudi,Semi Full,2012,3.7,247000,False,25000
45,X,Jeddah,BMW,Automatic,Saudi,Full,2015,2.0,92000,False,72000
47,Land Cruiser Pickup,Riyadh,Toyota,Manual,Saudi,Standard,2018,4.0,98000,False,105000
49,VTC,Riyadh,Nissan,Manual,Saudi,Semi Full,2016,4.8,307801,False,99000
50,Malibu,Abha,Chevrolet,Automatic,Saudi,Standard,2020,1.5,62000,False,57000
51,The 5,Jeddah,BMW,Automatic,Saudi,Standard,2019,2.5,38000,False,140000
55,Patrol,Riyadh,Nissan,Automatic,Saudi,Full,2010,4.0,208000,False,72000
56,Sonata,Makkah,Hyundai,Automatic,Saudi,Full,2020,2.5,11000,False,110000
57,Grand Cherokee,Al-Namas,Jeep,Automatic,Saudi,Semi Full,2014,3.6,245000,False,55000
61,Previa,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2015,2.4,156000,False,56500
64,FJ,Jeddah,Toyota,Automatic,Saudi,Full,2015,4.0,228000,False,90000
67,MKZ,Riyadh,Lincoln,Automatic,Saudi,Semi Full,2013,3.7,98100,False,71500
69,Datsun,Dammam,Nissan,Manual,Saudi,Semi Full,2015,2.0,182000,False,29000
70,Hilux,Dammam,Toyota,Manual,Saudi,Semi Full,2016,2.7,210800,False,62000
71,Yukon,Riyadh,GMC,Automatic,Gulf Arabic,Standard,2016,5.3,88000,False,141000
76,Edge,Jeddah,Ford,Automatic,Saudi,Full,2011,3.5,70000,False,60000
77,6,Jeddah,Mazda,Automatic,Saudi,Standard,2021,2.5,115,False,93000
79,Innova,Jeddah,Toyota,Automatic,Saudi,Standard,2018,2.7,91440,False,68000
80,Navara,Riyadh,Nissan,Manual,Saudi,Semi Full,2015,2.0,45000,False,50000
83,Senta fe,Riyadh,Hyundai,Automatic,Other,Semi Full,2016,3.3,50100,False,69000
84,G80,Riyadh,Genesis,Automatic,Saudi,Semi Full,2019,3.8,35449,False,121500
85,Carnival,Jeddah,Kia,Automatic,Saudi,Semi Full,2016,3.3,180,False,38000
87,Corolla,Riyadh,Toyota,Automatic,Saudi,Standard,2017,1.6,66200,False,51000
89,Camaro,Dammam,Chevrolet,Automatic,Other,Full,2018,3.6,89000,False,109000
90,Accord,Riyadh,Honda,Automatic,Saudi,Semi Full,2014,4.0,349000,False,48000
92,Malibu,Dammam,Chevrolet,Automatic,Saudi,Full,2016,3.6,105000,False,47000
93,C300,Riyadh,Chrysler,Automatic,Saudi,Full,2017,5.7,130000,False,88000
94,Sunny,Riyadh,Nissan,Automatic,Saudi,Semi Full,2011,1.6,212000,False,15000
95,Sunny,Riyadh,Nissan,Automatic,Saudi,Standard,2014,1.5,139740,False,20000
96,Azera,Riyadh,Hyundai,Automatic,Other,Semi Full,2017,3.5,256,False,47000
98,Tahoe,Riyadh,Chevrolet,Automatic,Gulf Arabic,Full,2017,5.3,73000,False,142000
100,Datsun,Qassim,Nissan,Manual,Saudi,Standard,2016,2.4,866,False,53000
101,Innova,Qassim,Toyota,Automatic,Saudi,Semi Full,2015,2.7,216,False,39000
103,Taurus,Makkah,Ford,Automatic,Saudi,Semi Full,2016,2.0,148000,False,58000
105,Avalon,Jeddah,Toyota,Automatic,Saudi,Semi Full,2014,3.5,188257,False,78500
106,Camry,Qassim,Toyota,Automatic,Gulf Arabic,Standard,2016,2.5,117000,False,60000
108,Tahoe,Jeddah,Chevrolet,Automatic,Saudi,Semi Full,2013,5.3,211257,False,60000
111,Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2017,2.0,135000,False,35000
112,Flex,Riyadh,Ford,Automatic,Saudi,Standard,2015,3.6,290000,False,30000
114,S,Al-Medina,Mercedes,Automatic,Saudi,Full,2007,3.0,270000,False,45000
116,Cerato,Jeddah,Kia,Automatic,Saudi,Standard,2019,1.6,43632,False,45500
118,Tahoe,Dammam,Chevrolet,Automatic,Saudi,Semi Full,2017,5.3,153000,False,125000
120,S,Al-Ahsa,Mercedes,Automatic,Other,Semi Full,2010,5.5,228000,False,63000
121,Senta fe,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2016,3.3,126000,False,63000
122,Land Cruiser 70,Makkah,Toyota,Manual,Saudi,Full,2015,2.6,180000,False,80000
124,Expedition,Jazan,Ford,Automatic,Saudi,Semi Full,2014,5.4,108000,False,60000
126,Altima,Riyadh,Nissan,Automatic,Saudi,Standard,2017,2.5,122000,False,44000
128,3,Al-Medina,Mazda,Automatic,Saudi,Standard,2018,1.8,53000,False,54000
129,Altima,Jeddah,Nissan,Automatic,Saudi,Standard,2017,2.5,181000,False,37000
130,Pick up,Sabya,Zhengzhou,Manual,Saudi,Semi Full,2020,2.4,13800,False,35000
131,Charger,Riyadh,Dodge,Automatic,Saudi,Standard,2018,3.6,79000,False,79000
132,H6,Riyadh,HAVAL,Automatic,Saudi,Full,2020,1.5,9000,False,70000
135,Hilux,Al-Jouf,Toyota,Manual,Saudi,Full,2017,2.7,168000,False,81000
136,Corolla,Al-Ahsa,Toyota,Automatic,Saudi,Full,2016,1.6,86500,False,48000
139,Hiace,Riyadh,Toyota,Manual,Saudi,Standard,2017,2.7,192692,False,68500
142,Taurus,Dammam,Ford,Automatic,Saudi,Standard,2019,2.0,48000,False,80000
144,Sunny,Jeddah,Nissan,Automatic,Saudi,Standard,2019,1.5,38920,False,33500
146,Accent,Dammam,Hyundai,Automatic,Saudi,Standard,2017,1.4,32000,False,33000
149,Sonata,Jeddah,Hyundai,Automatic,Saudi,Full,2020,2.5,3000,False,118000
155,Corolla,Qassim,Toyota,Automatic,Saudi,Standard,2013,1.6,334000,False,36500
157,Cerato,Riyadh,Kia,Automatic,Saudi,Standard,2016,1.6,34000,False,32000
158,CX9,Al-Ahsa,Mazda,Automatic,Saudi,Full,2016,2.5,229000,False,63000
161,Expedition,Dammam,Ford,Automatic,Saudi,Semi Full,2014,5.4,151000,False,65000
163,Flex,Dammam,Ford,Automatic,Saudi,Standard,2014,3.5,201000,False,57000
164,Optima,Riyadh,Kia,Automatic,Saudi,Full,2017,2.4,130,False,48000
165,Azera,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,3.0,147000,False,75000
169,Camry,Riyadh,Toyota,Automatic,Saudi,Standard,2017,2.5,101732,False,61500
170,Camry,Jeddah,Toyota,Automatic,Gulf Arabic,Semi Full,2010,2.5,145,False,25000
171,Yaris,Dammam,Toyota,Automatic,Saudi,Semi Full,2016,1.5,9800,False,32000
172,Sierra,Riyadh,GMC,Automatic,Saudi,Standard,2011,5.3,231000,False,45000
175,Corolla,Riyadh,Toyota,Automatic,Saudi,Standard,2017,1.6,92412,False,44500
178,Pick up,Al-Baha,Zhengzhou,Manual,Saudi,Full,2016,2.4,128,False,35000
179,Pajero,Qassim,Mitsubishi,Automatic,Other,Full,2014,3.5,200000,False,39000
181,Charger,Al-Ahsa,Dodge,Automatic,Saudi,Semi Full,2018,3.6,124000,False,99000
183,Sunny,Riyadh,Nissan,Automatic,Saudi,Standard,2018,1.5,79968,False,29000
184,CT-S,Riyadh,Cadillac,Automatic,Saudi,Full,2010,3.6,240000,False,32000
185,Sonata,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,2.4,63000,False,60000
187,Carnival,Riyadh,Kia,Automatic,Saudi,Standard,2015,2.4,132000,False,37000
188,Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2015,5.3,71000,False,125000
189,Sylvian Bus,Riyadh,Nissan,Manual,Saudi,Full,2018,3.0,3000,False,107000
190,ES,Jeddah,Lexus,Automatic,Other,Full,2016,3.5,103000,False,102000
191,Navigator,Khobar,Lincoln,Automatic,Saudi,Full,2013,5.7,27700,False,50000
192,Sierra,Riyadh,GMC,Automatic,Saudi,Standard,2016,5.3,205544,False,99500
193,Camry,Dammam,Toyota,Automatic,Saudi,Standard,2017,2.5,180000,False,58000
195,ES,Riyadh,Lexus,Automatic,Gulf Arabic,Semi Full,2018,3.5,28000,False,122000
196,ES,Makkah,Lexus,Automatic,Saudi,Semi Full,2013,2.5,239,False,65000
199,Yaris,Riyadh,Toyota,Automatic,Saudi,Standard,2014,1.4,201000,False,23000
200,Senta fe,Riyadh,Hyundai,Automatic,Saudi,Full,2009,2.7,260000,False,21000
201,Taurus,Dammam,Ford,Automatic,Other,Semi Full,2018,3.5,107000,False,77000
